form|lause|classification
Puudele|Puudele ilmuvad uued pungad , muru läheb taas roheliseks , kuid sinu pea jääb kiilaks ning valgeks - seal ei tärka enam midagi .|LOC
puudest|Nende puudest hävis üle 50% ( kuni 67% ) .|LOC
puudele|1,5 aastat tagasi tegi Soome firma Bäckström AB linna tellimusel Kaarli puiestee puudele resistograafiauuringu .|LOC
"""puudest"|Meile on ehk siinkohal kõige huvipakkuvam kombeid ja seadusi sätestavas Moosese 3. raamatus ( 23 : 40 ) toodud õpetus , kuidas pidulikult tähistada lõikuspüha : “ /---/ võtke endile puuvilja ihaldusväärsetest puudest , palmioksi ja oksi leherikastelt puudelt ja jõepajudelt ”|"LOC"""
teabes|Keskerakond pisendab venekeelsele valijale suunatud teabes maride probleeme ning kõrvutab jälle marisid Eestis elavate venelastega .|NONE
NONE
teabest|Huvitatud poolte antud teabest nähtub , et pärast fooliumi lõõmutamist ei saa rullide laiust muuta .|NONE
teabest|Politsei peadirektori käitumise iseloomustamiseks on kõige parem meenutada tema eelmise nädala sõnu , kui ta enda käes olnud teabest hoolimata teatas , et tegu on kahetsusväärse üksikjuhtumiga .|NONE
teabest|Seejuures selgub Mardna sõnul ajakirjanduses avaldatud teabest , et parima pakkujaga sõlmitav leping on EEA nõudel seotud lisatingimustega .|NONE
sisemaal|Surnukehade ülestoomist nõuavad peamiselt sisemaal elavad rootslased , vastu on rannikuinimesed .|LOC
sisemaal|Liibanoni sisemaal asuvad Iisraeli sõdurid on viimasel ajal hakanud kurtme toidu- ja joogiveepuuduse üle .|LOC
sisemaal|On normaalne , et sisemaal hakkab veekogudelt jää ära minema 10. aprilli paiku . ”|LOC
sisemaal|Lõuna maksu- ja tollikeskuse juhataja asetäitja Johannes Männiste sõnul teevad liikuvad rühmad salakauba avastamise eesmärgil kontrolli ka sisemaal või piiri vahetus läheduses .|LOC
"""sisemaale"|Matsalu rahvuspargi spetsialist Eve Mägi oletas , et osa kevadekuulutajaid talvitus kas linnas või kaugemal avamerel ja kui ilm läks soojaks , liikusid sisemaale pesitsuspaiku ja söögikohti uurima .|"LOC"""
muulastelt|Suuremad punktisaajad olid veel judokas Aleksei Budõlin , keda mitte-eestlased asetasid paremuselt neljandale positsioonile , ja mais come backi teinud telestaar Urmas Ott , kes samuti kogus toetushääli eeskätt muulastelt .|NONE
muulastele|Normaalseks teeks mitte-etnilistele muulastele on integreerumine .|NONE
muulastel|Juba sõlmitud riikidevahelised lepingud võimaldavad Eestis elanud ja siin pensioni välja teeninud muulastel Eestis välja teenitud pensioniga vanaduspõlv sünnimaal veeta .|NONE
muulastest|Võinuks uuesti ära trükkida sootuks värskema 26. juuli 2000 numbri , kus kenasti kirjas , et juba 75percent ; muulastest peavad jõulusid eestlastega ühel ajal.|NONE
muulastel|Opositsioonil on tuline õigus , et seadusemuudatused ei aita muulastel kuidagi integreeruda Eesti ühiskonda .|NONE
staabis|Bagdadis asuvas koalitsioonivägede baasis Camp Victory's teeninud major Reimann täitis ülesandeid Iraagi koalitsioonijõudude ( Multinational Force-Iraq , MNF-I ) staabis ning ühtlasi tegutses ka kontingendi vanemana .|NONE
staabis|Enne õhujõudude komandöriks määramist mullu septembris õppis ta USA õhujõudude Alabama kolledžis , kus sai magistrikraadi , seejärel teenis lühikest aega NATO staabis Leedus .|LOC
Staapidel|Staapidel tuli ühiselt vastu astuda kahele rünnakule .|LOC
staabist|Rooma , Napoli ja Lõuna-Itaalia jääb selle reisi käigus nägemata , kuid ka Milano staabist on valida mida iganes : paari-kolmetunnise rongisõidu kaugusele jäävad Jeesuse surilina poolest kuulus Torino , Šveitsi piiri ääres paiknev Como , maailmakirjandusse raiutud Parma ja Euroopa vanima linnaarhitektuuriga Genova .|LOC
staabist|Tapja poeg , kaitseliidust välja heidetud  O. Övel  aga varastas veel samal kuul malevkonna staabist relva .|LOC
luurele|/  Meie õppeprogramm on avatud kõigile ning seal pole midagi , mis kuidagi viitaks luurele .|NONE
luuresse|Sellised , kui nad luuresse satuvadki , ei tööta seal kaua .|NONE
luurel|Tehke endal siin olemine mõnusaks , ma käin vahepeal luurel ja vaatan , mida miilitsad teevad ja kus nad on .|NONE
luurel|Kui mõni aasta tagasi koos Reet Tobrega Venemaal luurel olnud kaitseliitlane vahele jäi , õpetasid meie eriteenistujad , et ega nendest asjadest siis avalikult räägita .|NONE
luurele|Praegu Château Palmeri veel Eestis pole , aga see eest on luurele tulnud tema vähemad vennad Réserve du Général ( 1997 ) ja Alter Ego ( 1998 ) .|NONE
jätkumisel|Selle põhjuseks tundub olevat Nazarbajevi kartus , et kiire erastamisprotsessi jätkumisel kuhjub enamik nafta- ja gaasiettevõtetest üksikute suurte korporatsioonide kätte .|NONE
jätkumises|Kolmandaks mängib vana korralduse jätkumises oma rolli ka osa ametnike hulgas visalt püsiv usk sissekirjutuse kui elukoha juriidilise fikseeringu ainumõeldavusse .|NONE
jätkumisele|"ei puutu , "" viitas ta remondi jätkumisele ."|NONE
jätkumisest|Surnutega võitluse jätkumisest annavad aga märku Narva-Jõesuu teeveeres seisvad rüüstatud saksa kalmistud , murtud ristid ja avatud hauad .|NONE
jätkumisel|Siiani on finantskonto ülejääk tasakaalustanud kogu maksebilansi , kuid samas näitab maksebilansi dünaamika , et seniste tendentside jätkumisel tekib ka maksebilansi defitsiit .|NONE
"""rivaalile"|Djukanovic pakkus presidendivalimiste kordamise asemel Bulatovicile kompromissina ennetähtaegseid parlamendivalimisi , kuid sellest rivaalile ei piisanud .|"NONE"""
rivaalidel|Kui riigis loevad hääli ainult ÜRO töötajad , ei õnnestu kohalikel rivaalidel tulemusi enda kasuks pöörata .|NONE
"""rivaalidest"|“ Ei mõista , miks enamikul rivaalidest võtab edu saavutamine juunioride klassist väljakasvamise järel nii palju aastaid , ” arutleb karjääri hakul end kuulsa norralase Bjørn Dæhlie'ga võrrelnud Elofsson .|"NONE"""
rivaalidele|Seevastu sageli aeglase algusega rivaalidele sekundeid loovutanud Mae kavatseb startida täiskiirusel .|NONE
rivaalidele|Floridas andis Litovtšenko ujumisega rivaalidele kümme minutit ette .|NONE
finantseerimisel|Minule on saabunud arupärimine Riigikogu liikme Arvo Sirendi poolt ja arupärimise tekst on järgmine : “ Teadus- ja arendustegevuse finantseerimisel jätkub segadus , mida ajuti on reformidega seletatud ja kohati reformiks nimetatudki .|NONE
"""finantseerimisele"|Kui õpe toimub väljaspool riiklikku õppekava , kui lapsevanemad , kooli hoolekogu ja ka lapsed leiavad , et tunnid peaksid toimuma rohkemates rühmades , näiteks kui klass annaks riikliku õppekava tunnijaotusplaani järgi välja kaks rühma , aga otsustatakse teha kolm rühma , siis see kolmas rühm ei kuulu enam riikliku õppekava sees finantseerimisele .|"NONE"""
finantseerimisel|Ministeerium ei lähtu maakondade finantseerimisel kuude kaupa finantseerimisest , vaid õpilaskoha maksumusest , mis on kinnitatud ühe õpilase kohta aastas .|NONE
finantseerimises|NATO sõjalise komitee esimees kindral Harald Kujat rõhutas järjepidevuse tähtsust nii finantseerimises , kaitseväe restruktureerimises kui sõjalise väljaõppe andmisel .|NONE
finantseerimisele|Riigi tasandil kuuluksid aga kohustuslikult finantseerimisele vaimuhaiged , keda kohus on saatnud Tallinna Psühhiaatria Haiglasse , rahva keeles tuntud Seevaldisse või Jämejala Psühhiaatria Haiglasse .|NONE
"""kabinetiistungil"|Eelmisel nädalal valisid ministrid kabinetiistungil ligi 60 taotlusest välja Kiviõli Õlitööstuse projekti poolkoksi käitlemiseks mullaparanduseks ning merepõhja süvendamise kinnikasvamise vältimiseks Kihnu sadamas ja Haapsalu Tagalahes , kirjutab Äripäev .|"NONE"""
"""kabinetiistungile"|Majandusminister  Andres Lipstoki  ettepanekul lükkas valitsus riigiettevõtte Eesti Kütus haldusnõukogu koosseisu kinnitamise neljapäevasele kabinetiistungile .|"NONE"""
kabinetiistungil|Eesti valitsuse asendusliige tulevikukonvendis Henrik Hololei ütles BNSile , et valitsus arutas teisipäevasel kabinetiistungil suhtumist EL-i institutsioonide reformi ega pooldanud Euroopa Ülemkogu presidendi ning Euroopa Parlamendi valitava Euroopa Komisjoni presidendi ametikoha sisseseadmist .|NONE
kabinetiistungil|Valitsus käsitles teisipäevasel kabinetiistungil Läänemaa elektri hinda eraldi , sest erinevalt ASist Narva Elektrivõrgud on Fortumil vähe suurtarbijaid ning kannatavad ennekõike maakonna elanikud , ütles Alajõe .|NONE
"""kabinetiistungil"|""" Kohtuminister kinnitas valitsusele , et Briti-Iiri lepe jõustus ja et valitsus on kohe pärast seda kohustatud tagama , et muudatused Iiri põhiseadusse hakkaksid nõuetekohaselt kehtima , "" ütles peaminister Bertie Ahern kabinetiistungil , mille kandis üle Iiri televisioon ."|"NONE"""
kuluaarides|Tulemus ületab küll analüütikute ennustatud kaheksasendist kasumit , kuid kui aluseks võtta kuluaarides ringelnud 11-12 sendi ootus , siis üllatusmomenti tegelikult ei ole .|NONE
kuluaarides|Washingtoni välispoliitilistes kuluaarides on pikka aega levinud arvamus , et ameeriklased tulevad vastu sakslaste soovile rajada Kesk-Euroopasse Poolast , Tshehhist ja Ungarist koosnev sanitaartsoon .|NONE
kuluaarides|Ilmselt ei olnud kõik ühiskondlikud organisatsioonid sinna kaasa tõmmatud , sellele juhtis ka väga austatud härra Made enne mu tähelepanu kuluaarides .|NONE
kuluaarides|Tookord said selles kaunis linnas kokku kõik kolm reformimeelset vabadusliikumist , võeti vastu sellel perioodil väga tähtsad dokumendid , kolme liikumise juhid aga kirjutasid kuluaarides alla kavatsuste eriprotokolli , mille ühes paragrahvis räägitakse rõhutatult sellest , mille poole peavad kolm taasiseseisvunud riiki pürgima : a ) looma Balti ühisturu ; b ) looma ühise Balti majanduskoostöö ja krediteerimise süsteemi ; c ) loobuma majanduslikust konfrontatsioonist riiklikul tasandil ; d ) looma ühise informatsioonisüsteemi .|NONE
kuluaarides|Carmen Kass on Paidest pärit jõukas tippmodell , kes kuluaarides kannab hüüdnime Carmen Cash ( inglise keeles ?|NONE
töölaual|Veel on Tshulitski töölaual lahti vene meediamagnaadi poja Marian Haitovi tapmine ning kõmulise Tallinna ärinaise abikaasa Lembit Aru mõrv .|LOC
töölauale|Riigikohtu kriminaalkolleegiumi töölauale on jõudnud Toomas Tiigi kaitsja Anti Aasmaa kassatsioonikaebus , milles soovitakse , et kohus tühistaks selle aasta märtsis Viru ringkonnakohtus langetatud otsuse Tiigi sõiduauto konfiskeerimise kohta .|LOC
töölaudadele|Kuigi “ oma asjadega ” tegeles meist kõige enam just tema ise , sest me nägime teda järjest harvem , keskmiselt vist kolm-neli korda kuu jooksul – ülejäänu aja oli ta lennus ( kusagil , mingi tähtsal lähetusel , tihti justkui teisel planeedil ) , nii et küllalt tihti piirdusid minu ja mu kolleegide kontaktid oma direktoriga vaid pikkade nimekirjadega , mis olid ilmunud me hommikustele töölaudadele .|LOC
töölauale|Ka ei saaks läbi täiustatud projitseerimissüsteemideta , mis looksid ümbritsevast loomutruu pildi , samuti puutesimulaatorite ( et inimesed ja objektid tunduksid virtuaalruumis ka katsudes tõelistena ) ja superarvutiteta , mis võimsusele vaatamata ikka töölauale ära mahuksid .|LOC
töölauale|Aseta töölauale ja pane tossama .|LOC
kontrollmängudes|""" Siiski on ülikõva koosseisu kokku kogunud CSKA esinenud seni kontrollmängudes ülivõimsalt ."|"NONE"""
kontrollmängus|Saksamaa kaotas kontrollmängus Kreekale 87 : 94.|NONE
kontrollmängus|Saatuse tahtel kaotasid taanlased 28. mail toimunud referendumipäeval MM kontrollmängus Rootsile , kuid säilitasid oma täisväärtusliku koha Euroopa Liidus .|NONE
kontrollmängus|Võrkpalli MMvõistluste valikmängudeks valmistuv Eesti meeskond alistas laupäeval esimeses kontrollmängus Salos Lõuna-Soome klubide koondise 3 : 0.|NONE
"""kontrollmängus"|""" Teisipäevases kontrollmängus viskasin Avitose vastu mõne korvigi ."|"NONE"""
"""sekretäris"|Optiva Panga juhatuse sekretäris Jana Zeigeris , 21 , elab justkui kaks inimest .|"NONE"""
sekretärilt|Tööleht küsis viieteistkümnelt Eesti sekretärilt , kui palju nemad kuus teenivad .|NONE
sekretäridele|Ta on kirjutanud sekretäridele õpetussõnu , kuidas side- ja mõttekriipsu kasutada .|NONE
sekretärile|Ajalehe andmeil hakkas Tukumsis elav nõid kõrge vererõhu ja südamevaevuste all kannatava valitsusjuhi tervise pärast tõsiselt muret tundma ja helistas tema sekretärile .|NONE
sekretärile|“ Võtsin kätte ja helistasin presidendi sekretärile , kes mind presidendiga ühendas .|NONE
skeemile|Nagu paljud teisedki analüüsijad , ei suutnud me hoiduda kiusatusest kontrollida , kas elektrooniliselt saadetud kummituslood kummitusmajadest alluvad W. Labovi pakutud narratiivi strukturaalsele skeemile ( 1972 ) .|NONE
Skeemilt|Skeemilt näeme , et 20. sajandi lõpu perepärimuses on hästi teada 20. sajandi inimesed ja nende kodu .|NONE
skeemis|Iga teos ja autor või ajalooperioodki kujutab selles skeemis siis vaid enam või vähem õnnestunud katset jõuda tolle täiusliku lõppseisundini .|NONE
skeemilt|Alaves läks tagasihoidlikult skeemilt 5-4-1 üle 4-4-2-le .|NONE
skeemile|Aga kui sellele skeemile vastu hakkad , oled kohe väga paha .|NONE
lihastel|Miks mitte muretseda ortopeedilist patja , mis annab magamiseks mugavama asendi ja laseb lihastel paremini lõõgastuda .|LOC
lihasesse|The New York Timesi 7. juuli kahest pikemast artiklist loeme , et salmonellabakter põhjustab aastas üle 4000 surmajuhtumi ja viie miljoni inimese haigestumise , ning et E-kolibakter , mis lihasesse sattunud määrdumisest väljaheidetega , põhjustas 1993. aastal USA läänerannikul mitme lapse surma ja sadade täiskasvanute haigestumisi ühe kiirsööklateketi pooltooreste hamburgerite söömisest .|LOC
lihases|Esmalt eraldati cDNA , mis on olemas südames , kuid puudub glükolüütilises lihases m.|LOC
lihastele|Võib endale ükstapuha mida sisendada , aga koos kasuga lihastele teeb pulber paratamatult kahju organismile .|LOC
lihastes|Venitust tunned vastaspoolse külje lihastes .|LOC
advokaadibüroost|Urge Roadi ja Treptenit esindav jurist Annika Murulaid advokaadibüroost Concordia ütles Luubile , et kindlustusfirma kasutab venitamistaktikat .|LOC
"""advokaadibüroole"|"Vandeadvokaat Andres Hallmägi ütles , et majandusaruannetega tutvumise aeglus nende advokaadibüroole probleeme ei valmista : "" Selle majandusinfoga , mis ettevõtted äriregistrile esitavad , pole meil niikuinii suurt midagi peale hakata . """|"LOC"""
"""advokaadibüroost"|Olen oma kliendist Giovanni Sposatost aga aru saanud nii , et kohtusse kavatseb ta siiski kindlasti minna , ” tunnistab Aivar Pihlak advokaadibüroost Legalia .|"LOC"""
advokaadibüroole|Tallinna ringkonnakohtu tsiviilkolleegiumi hinnangul ei õigusta Krinali ebaseaduslikke ja alusetuid väljamakseid advokaadibüroole mitte miski .|LOC
advokaadibüroos|Olukorda ei muuda ka see , et büroost või töötajalt ei või ära võtta õigusteenust osutades saadud teabekandjaid , kuna kõik , mis toimub advokaadibüroos ei ole õigusteenuse osutamine .|LOC
hoiatusest|95% saab hoiatusest aru .|NONE
"""hoiatustele"|Eesti suuremaid tarkvaramüüjaid koondava BSA Eesti Komitee tegevuse koordinaatori Erik Mandre sõnul edastatakse juhul , kui piraat jätkab oma tegevust vaatamata hoiatustele , tema andmed politseile , kes hangib tõendusmaterjali äsja lepingu allkirjastanud ISP-idelt .|"NONE"""
hoiatustest|Kreeka välisministri Theodoros Pangalose sõnul olevat Öcalan saanud 2. veebruaril peatuspaiga Kreeka saatkonnas Keenias , kuid lahkunud sealt esmaspäeval kreeklaste hoiatustest hoolimata .|NONE
hoiatusest|Hoolimata USA hoiatusest , katsetas India eile hommikul keskmaaraketti Agni II , seda täpselt 11 kuud pärast rahvusvahelist skandaali tekitanud tuumakatsetusi .|NONE
hoiatusele|NCISi hoiatusele eelnes seitsme miljardi dollari suurune rahapesuskandaal , millesse oli segatud New Yorgi Pank ( Bank of New York ) ning mille keskmes olid  Peter Berlin  ja  Lucy Edwards  Londonist .|NONE
LOC
LOC
Torontos|Sedakorda leidis tulistamine aset Torontos 1.000 õpilasega Emery kooli parkimisplatsil lumetuisuse ilmaga .|LOC
NONE
Torontos|""" Naked News "" alustas 1999. aasta detsembris Torontos ajalehe National Post juures ."|LOC
tugitoolist|Tõusin tugitoolist ning astusin sammu lauale lähemale .|LOC
tugitoolides|Nad istusid väikese ümmarguse laua taga pehmetes , põhjatuna tunduvais tugitoolides .|LOC
tugitoolis|Edgar istub tugitoolis ja räägib 14kilosest kalast , mille ta püüdis .|LOC
tugitoolis|Mõni päev enne jõule kaheksa-aastaseks saanud Crislini vanem vend Riho ( 9 ) kõõlub tugitoolis ning silmitseb tädi ja vanaema külalisi teraselt .|LOC
tugitoolis|Mehe sõnul ujusid toona toolid mööda tuba , lõõtspill triivis tugitoolis .|LOC
taktis|Pärast lauldi Talitha eestvedamisel ka Eesti laule : Need silmad , need silmad , ei iial unune ... õõtsus rahvas muusika taktis ning vaatas särasilmselt MacKenzie poole .|NONE
taktis|Kui ette ei vaata , siis puistab mõni muusika taktis sigaretiga vehkija sulle tubakatuhka pähe .|NONE
taktis|Pool viimast aastat on teie lauljakarjäär käinud Straussi opereti “ Öö Veneetsias ” taktis : algul mängisite peaosa suvelavastuses ja siis tuli sama roll Estonias .|NONE
taktis|See , kuidas nende president hoogsalt loožis muusika taktis kodumaa lippu lehvitas , tegi südame soojaks .|NONE
taktis|Aktsiahinnad liiguvad siiski kõikjal ühes taktis .|NONE
turneele|Alanud nädalal sõidab Eesti koondis turneele Moskvasse , kus kohtutakse CSKA , Dinamo ja Himkiga .|NONE
turneele|Saksamaa saadab veebruaris Balti turneele oma välisministeeriumi teise mehe Günther Verheugeni .|NONE
turneel|Adamson käis tuntud Vene ja maailma rahvatantsuguru Igor Moiseejeviga 1972 koos turneel : “ Igor valis Sõpruse ise oma turneele kaasa .|NONE
